Position,Title,Director,Rating
1,El padrino ,"Francis Ford Coppola, Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano","9,0"
2,Planeta Tierra II (Miniserie de TV),"Elizabeth White, Justin Anderson, Ed Charles, David Attenborough","8,9"
3,El padrino. Parte II ,"Francis Ford Coppola, Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, Talia Shire, Gastone Moschin","8,9"
4,The Wire (Bajo escucha) (Serie de TV),"David Simon, Joe Chappelle, Ernest R. Dickerson, Clark Johnson, Dominic West, Lance Reddick, Sonja Sohn, Clarke Peters, Aidan Gillen, Wendell Pierce, Andre Royo, Idris Elba","8,8"
5,Breaking Bad (Serie de TV),"Vince Gilligan, Michelle MacLaren, Adam Bernstein, Vince Gilligan, Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, RJ Mitte, Bob Odenkirk, Jonathan Banks","8,8"
6,Planeta azul II (Miniserie de TV),"David Attenborough, David Attenborough","8,8"
7,Cosmos (Serie de TV),"Carl Sagan, David F. Oyster, Adrian Malone, Carl Sagan","8,8"
8,Doce hombres sin piedad ,"Sidney Lumet, Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam, Ed Begley, John Fiedler, Robert Webber","8,7"
9,Cosmos: A Space-Time Odyssey (Serie de TV),"Ann Druyan, Steven Soter, Ann Druyan, Neil deGrasse Tyson, Seth MacFarlane","8,7"
10,La lista de Schindler ,"Steven Spielberg, Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Norbert Weisser, Martin S. Bergmann","8,6"
11,Testigo de cargo ,"Billy Wilder, Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, Una O'Connor, Henry Daniell, Norma Varden","8,6"
12,"Siete mundos, un planeta (Miniserie de TV)","David Attenborough, Fredi Devas, Giles Badger, Chadden Hunter, David Attenborough","8,6"
13,Luces de la ciudad ,"Charles Chaplin, Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia, Hank Mann, Jack Alexander, Tom Dempsey, Henry Bergman","8,6"
14,Cadena perpetua ,"Frank Darabont, Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows, William Sadler, Mark Rolston, Clancy Brown","8,6"
